,date_month,repo_id,count_stars,last_year_count_stars,yoy_growth,repo_id_1,repo_name,start_date,end_date
97,2021-12-01,14579099,164,239.0,-0.3138075313807531,14579099,plotly/plotly.py,2015-10-12 00:41:25,
98,2022-01-01,14579099,194,262.0,-0.2595419847328244,14579099,plotly/plotly.py,2015-10-12 00:41:25,
99,2022-02-01,14579099,145,221.0,-0.3438914027149321,14579099,plotly/plotly.py,2015-10-12 00:41:25,
100,2022-03-01,14579099,192,247.0,-0.22267206477732793,14579099,plotly/plotly.py,2015-10-12 00:41:25,
101,2022-04-01,14579099,191,210.0,-0.09047619047619049,14579099,plotly/plotly.py,2015-10-12 00:41:25,
102,2022-05-01,14579099,167,172.0,-0.029069767441860517,14579099,plotly/plotly.py,2015-10-12 00:41:25,
103,2022-06-01,14579099,157,209.0,-0.24880382775119614,14579099,plotly/plotly.py,2015-10-12 00:41:25,
104,2022-07-01,14579099,165,179.0,-0.07821229050279332,14579099,plotly/plotly.py,2015-10-12 00:41:25,
105,2022-08-01,14579099,162,182.0,-0.10989010989010994,14579099,plotly/plotly.py,2015-10-12 00:41:25,
106,2022-09-01,14579099,168,176.0,-0.045454545454545414,14579099,plotly/plotly.py,2015-10-12 00:41:25,
107,2022-10-01,14579099,172,83.0,1.072289156626506,14579099,plotly/plotly.py,2015-10-12 00:41:25,
108,2022-11-01,14579099,168,181.0,-0.07182320441988954,14579099,plotly/plotly.py,2015-10-12 00:41:25,
109,2022-12-01,14579099,163,164.0,-0.0060975609756097615,14579099,plotly/plotly.py,2015-10-12 00:41:25,
110,2023-01-01,14579099,177,194.0,-0.08762886597938147,14579099,plotly/plotly.py,2015-10-12 00:41:25,
111,2023-02-01,14579099,170,145.0,0.17241379310344818,14579099,plotly/plotly.py,2015-10-12 00:41:25,
112,2023-03-01,14579099,149,192.0,-0.22395833333333337,14579099,plotly/plotly.py,2015-10-12 00:41:25,
113,2014-10-01,24470524,1,,,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
114,2015-01-01,24470524,5,,,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
115,2015-02-01,24470524,1,,,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
116,2015-03-01,24470524,2,,,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
117,2015-04-01,24470524,6,,,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
118,2015-05-01,24470524,4,,,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
119,2015-06-01,24470524,10,,,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
120,2015-07-01,24470524,4,,,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
121,2015-08-01,24470524,10,,,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
122,2015-09-01,24470524,3,,,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
123,2015-10-01,24470524,4,,,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
124,2015-11-01,24470524,7,,,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
125,2015-12-01,24470524,5,1.0,4.0,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
126,2016-01-01,24470524,3,5.0,-0.4,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
127,2016-02-01,24470524,6,1.0,5.0,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
128,2016-03-01,24470524,4,2.0,1.0,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
129,2016-04-01,24470524,2,6.0,-0.6666666666666667,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
130,2016-05-01,24470524,4,4.0,0.0,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
131,2016-06-01,24470524,10,10.0,0.0,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
132,2016-07-01,24470524,10,4.0,1.5,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
133,2016-08-01,24470524,11,10.0,0.10000000000000009,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
134,2016-09-01,24470524,4,3.0,0.33333333333333326,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
135,2016-10-01,24470524,6,4.0,0.5,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
136,2016-11-01,24470524,7,7.0,0.0,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
137,2016-12-01,24470524,1,5.0,-0.8,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
138,2017-01-01,24470524,10,3.0,2.3333333333333335,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
139,2017-02-01,24470524,6,6.0,0.0,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
140,2017-03-01,24470524,2,4.0,-0.5,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
141,2017-04-01,24470524,9,2.0,3.5,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
142,2017-05-01,24470524,7,4.0,0.75,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
143,2017-07-01,24470524,4,10.0,-0.6,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
144,2017-08-01,24470524,2,10.0,-0.8,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
145,2017-10-01,24470524,6,11.0,-0.4545454545454546,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
146,2017-11-01,24470524,3,4.0,-0.25,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
147,2017-12-01,24470524,7,6.0,0.16666666666666674,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
148,2018-01-01,24470524,7,7.0,0.0,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
149,2018-02-01,24470524,6,1.0,5.0,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
150,2018-03-01,24470524,1,10.0,-0.9,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
151,2018-04-01,24470524,2,6.0,-0.6666666666666667,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
152,2018-06-01,24470524,1,2.0,-0.5,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
153,2018-08-01,24470524,1,9.0,-0.8888888888888888,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
154,2018-09-01,24470524,3,7.0,-0.5714285714285714,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
155,2018-10-01,24470524,3,4.0,-0.25,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
156,2018-11-01,24470524,2,2.0,0.0,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
157,2018-12-01,24470524,5,6.0,-0.16666666666666663,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
158,2019-01-01,24470524,5,3.0,0.6666666666666667,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
159,2019-02-01,24470524,4,7.0,-0.4285714285714286,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
160,2019-03-01,24470524,2,7.0,-0.7142857142857143,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
161,2019-04-01,24470524,1,6.0,-0.8333333333333334,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
162,2019-05-01,24470524,2,1.0,1.0,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
163,2019-06-01,24470524,4,2.0,1.0,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
164,2019-07-01,24470524,4,1.0,3.0,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
165,2019-08-01,24470524,3,1.0,2.0,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
166,2019-10-01,24470524,1,3.0,-0.6666666666666667,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
167,2019-11-01,24470524,1,3.0,-0.6666666666666667,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
168,2019-12-01,24470524,1,2.0,-0.5,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
169,2020-01-01,24470524,3,5.0,-0.4,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
170,2020-02-01,24470524,5,5.0,0.0,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
171,2020-03-01,24470524,3,4.0,-0.25,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
172,2020-04-01,24470524,2,2.0,0.0,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
173,2020-05-01,24470524,2,1.0,1.0,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
174,2020-06-01,24470524,3,2.0,0.5,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
175,2020-07-01,24470524,2,4.0,-0.5,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
176,2020-08-01,24470524,2,4.0,-0.5,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
177,2020-09-01,24470524,3,3.0,0.0,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
178,2020-10-01,24470524,2,1.0,1.0,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
179,2020-11-01,24470524,1,1.0,0.0,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
180,2021-01-01,24470524,1,1.0,0.0,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
181,2021-02-01,24470524,2,3.0,-0.33333333333333337,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
182,2021-03-01,24470524,1,5.0,-0.8,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
183,2021-04-01,24470524,2,3.0,-0.33333333333333337,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
184,2021-05-01,24470524,2,2.0,0.0,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
185,2021-08-01,24470524,2,2.0,0.0,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
186,2021-09-01,24470524,2,3.0,-0.33333333333333337,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
187,2021-11-01,24470524,1,2.0,-0.5,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
188,2022-01-01,24470524,2,2.0,0.0,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
189,2022-03-01,24470524,2,3.0,-0.33333333333333337,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
190,2022-04-01,24470524,2,2.0,0.0,24470524,zingchart/ZingChart,2015-01-09 17:02:29,
